record_id,craft,material,technique,size,labor_hours,raw_material_cost,packaging_cost,transport_cost,complexity,customization,region,actual_selling_price
SIH-01488,Kondapalli Toys,Soft Wood,Hand Painting,Large,9.4,350,50,65,Medium,Standard,South India,1990
SIH-01489,Dhokra,Brass,Lost Wax Casting,Medium,17.7,1900,140,330,High,High,Central India,8350
SIH-01490,Blue Pottery,Ceramic,Glazing,Small,3.1,110,30,35,Low,Moderate,West India,740
SIH-01491,Thanjavur Painting,Wood,Gold Leaf Work,Large,42.7,5820,500,950,High,Moderate,South India,26650
SIH-01492,Phulkari,Cotton,Hand Embroidery,Standard,18.5,620,85,105,High,High,North India,5170
SIH-01493,Madhubani,Paper,Hand Painting,Large,32.9,440,105,140,High,High,East India,6450
SIH-01494,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,18.1,930,70,130,Medium,Moderate,North India,4740
SIH-01495,Pashmina,Pashmina Wool,Hand Embroidery,Standard,67.4,5670,240,545,Medium,Standard,North India,28220
SIH-01496,Banarasi,Silk,Handloom Weaving,Standard,99.3,5240,645,665,High,Moderate,North India,43190
SIH-01497,Madhubani,Paper,Hand Painting,Small,6.7,140,25,30,Low,Standard,East India,1800
SIH-01498,Channapatna,Wood,Lac Turning,Large,7.7,300,25,50,Medium,Standard,South India,1880
SIH-01499,Blue Pottery,Ceramic,Glazing,Medium,2.7,270,40,40,Low,Light,West India,880
SIH-01500,Phulkari,Cotton,Hand Embroidery,Standard,39.2,430,145,130,High,Moderate,North India,9490
SIH-01501,Blue Pottery,Ceramic,Glazing,Large,8.9,410,95,115,Medium,Light,West India,2640
SIH-01502,Terracotta,Clay,Hand Moulding,Small,2.2,70,15,20,Low,Moderate,East India,390
SIH-01503,Pashmina,Pashmina Wool,Hand Embroidery,Standard,111.2,6760,415,405,Medium,Standard,North India,35800
SIH-01504,Pashmina,Pashmina Wool,Hand Embroidery,Standard,44.6,6160,295,350,High,Moderate,North India,21920
SIH-01505,Blue Pottery,Ceramic,Glazing,Large,4.1,410,65,80,Medium,Standard,West India,1640
SIH-01506,Phulkari,Cotton,Hand Embroidery,Standard,35.9,750,100,140,Medium,Moderate,North India,10150
SIH-01507,Dhokra,Brass,Lost Wax Casting,Large,20.5,1560,180,240,High,High,Central India,8520
SIH-01508,Banarasi,Silk,Handloom Weaving,Standard,120.2,4090,515,670,High,Moderate,North India,43090
SIH-01509,Blue Pottery,Ceramic,Glazing,Large,6.5,530,75,95,Medium,Standard,West India,1960
SIH-01510,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Medium,22.2,1680,215,200,Medium,Light,North India,10050
SIH-01511,Madhubani,Paper,Hand Painting,Medium,9.6,220,25,45,Low,Standard,East India,2140
SIH-01512,Sandalwood Carving,Sandalwood,Wood Carving,Medium,28.4,2540,175,245,Medium,Moderate,South India,11460
SIH-01513,Bastar Dhokra,Bell Metal,Lost Wax Casting,Small,17.6,1080,200,200,Medium,High,Central India,5650
SIH-01514,Terracotta,Clay,Hand Moulding,Small,2.3,160,15,30,Low,Standard,East India,600
SIH-01515,Channapatna,Wood,Lac Turning,Medium,4.5,100,15,35,Low,Light,South India,800
SIH-01516,Banarasi,Silk,Handloom Weaving,Standard,161.4,4410,375,880,High,High,North India,46580
SIH-01517,Madhubani,Paper,Hand Painting,Small,24.9,110,55,100,Low,Moderate,East India,6110
SIH-01518,Thanjavur Painting,Wood,Gold Leaf Work,Small,37.9,2210,485,360,Medium,High,South India,19990
SIH-01519,Kondapalli Toys,Soft Wood,Hand Painting,Large,6.1,410,55,60,High,Standard,South India,1880
SIH-01520,Channapatna,Wood,Lac Turning,Large,6.9,240,40,40,Medium,Moderate,South India,1320
SIH-01521,Blue Pottery,Ceramic,Glazing,Small,3.8,110,25,35,Low,Moderate,West India,790
SIH-01522,Kalamkari,Cotton,Block Printing,Large,5.4,750,25,65,Medium,Standard,South India,2360
SIH-01523,Blue Pottery,Ceramic,Glazing,Small,3.3,200,30,35,Low,Standard,West India,1030
SIH-01524,Madhubani,Paper,Hand Painting,Medium,33.4,200,90,145,Medium,Moderate,East India,6440
SIH-01525,Sikki Craft,Sikki Grass,Hand Weaving,Large,11.6,180,65,50,Medium,Standard,East India,2220
SIH-01526,Banarasi,Silk,Handloom Weaving,Standard,71.3,5560,360,730,Medium,Standard,North India,31040
SIH-01527,Sikki Craft,Sikki Grass,Hand Weaving,Medium,8.4,210,40,50,Medium,High,East India,1920
SIH-01528,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,13.5,920,175,100,Low,Standard,North India,5970
SIH-01529,Bastar Dhokra,Bell Metal,Lost Wax Casting,Small,13.7,1360,145,175,Low,Standard,Central India,5500
SIH-01530,Sikki Craft,Sikki Grass,Hand Weaving,Large,9.3,320,40,35,High,High,East India,2180
SIH-01531,Kondapalli Toys,Soft Wood,Hand Painting,Large,2.3,500,15,45,Medium,Standard,South India,1230
SIH-01532,Sikki Craft,Sikki Grass,Hand Weaving,Large,15.4,280,80,105,High,Standard,East India,3090
SIH-01533,Blue Pottery,Ceramic,Glazing,Small,1.3,190,20,25,Low,Light,West India,520
SIH-01534,Dhokra,Brass,Lost Wax Casting,Large,24.5,1930,250,390,High,Moderate,Central India,10640
SIH-01535,Terracotta,Clay,Hand Moulding,Large,9.1,250,40,95,Medium,Light,East India,1730
SIH-01536,Kutch Embroidery,Cotton,Hand Embroidery,Large,33.5,740,115,180,High,Moderate,West India,7450
SIH-01537,Blue Pottery,Ceramic,Glazing,Medium,2.5,200,25,40,Low,Standard,West India,770
SIH-01538,Phulkari,Cotton,Hand Embroidery,Standard,45.8,620,155,155,High,Light,North India,9090
SIH-01539,Blue Pottery,Ceramic,Glazing,Medium,3.1,230,30,45,Low,Standard,West India,910
SIH-01540,Blue Pottery,Ceramic,Glazing,Medium,1.4,220,25,30,Low,Light,West India,630
SIH-01541,Kutch Embroidery,Cotton,Hand Embroidery,Medium,18.2,380,45,70,High,Light,West India,4480
SIH-01542,Terracotta,Clay,Hand Moulding,Large,11.9,280,50,95,Medium,Standard,East India,2400
SIH-01543,Madhubani,Paper,Hand Painting,Large,18.8,430,50,95,Medium,Light,East India,4280
SIH-01544,Madhubani,Paper,Hand Painting,Large,43.9,250,100,175,High,Light,East India,11680
SIH-01545,Pipili Applique,Cotton,Applique,Small,3.6,190,15,20,Low,Standard,East India,760
SIH-01546,Bastar Dhokra,Bell Metal,Lost Wax Casting,Large,28.3,2890,470,630,High,Moderate,Central India,13510
SIH-01547,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,41.2,1660,365,530,High,Light,North India,14410
SIH-01548,Kutch Embroidery,Cotton,Hand Embroidery,Small,12.7,210,25,60,Medium,Standard,West India,2480
SIH-01549,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,31.9,2950,175,485,High,High,North India,13780
SIH-01550,Blue Pottery,Ceramic,Glazing,Medium,5.6,360,60,55,Low,Light,West India,1770
SIH-01551,Kutch Embroidery,Cotton,Hand Embroidery,Small,14.0,410,40,70,Medium,Moderate,West India,4540
SIH-01552,Pashmina,Pashmina Wool,Hand Embroidery,Standard,87.2,4010,335,425,Medium,Standard,North India,30820
SIH-01553,Kondapalli Toys,Soft Wood,Hand Painting,Medium,5.1,340,15,40,Medium,Light,South India,1360
SIH-01554,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,14.4,2770,135,170,High,Moderate,North India,8970
SIH-01555,Kutch Embroidery,Cotton,Hand Embroidery,Small,7.2,330,40,50,Low,Light,West India,2460
SIH-01556,Thanjavur Painting,Wood,Gold Leaf Work,Small,11.2,1380,115,275,Medium,Standard,South India,8220
SIH-01557,Blue Pottery,Ceramic,Glazing,Small,2.4,180,35,45,Low,Moderate,West India,880
SIH-01558,Blue Pottery,Ceramic,Glazing,Small,1.7,170,25,20,Low,Light,West India,630
SIH-01559,Sikki Craft,Sikki Grass,Hand Weaving,Small,6.3,100,25,50,Low,Standard,East India,1480
SIH-01560,Phulkari,Cotton,Hand Embroidery,Standard,43.1,700,230,220,High,High,North India,12170
SIH-01561,Moradabad Metal Craft,Brass,Metal Engraving,Small,5.8,960,80,85,Low,Standard,North India,3200
SIH-01562,Dhokra,Brass,Lost Wax Casting,Small,12.7,840,115,135,Low,Standard,Central India,3910
SIH-01563,Dhokra,Brass,Lost Wax Casting,Small,15.4,810,85,190,Low,Moderate,Central India,4180
SIH-01564,Sikki Craft,Sikki Grass,Hand Weaving,Medium,6.4,90,40,45,Medium,Standard,East India,1400
SIH-01565,Channapatna,Wood,Lac Turning,Medium,5.0,90,25,30,Low,Standard,South India,1100
SIH-01566,Pipili Applique,Cotton,Applique,Medium,9.8,230,25,30,Medium,Moderate,East India,1620
SIH-01567,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,26.9,990,135,170,Medium,Moderate,North India,7630
SIH-01568,Sikki Craft,Sikki Grass,Hand Weaving,Medium,5.9,160,30,35,Medium,Light,East India,1180
SIH-01569,Kondapalli Toys,Soft Wood,Hand Painting,Small,4.4,210,20,25,Low,Light,South India,1330
SIH-01570,Kondapalli Toys,Soft Wood,Hand Painting,Large,6.3,200,50,35,Medium,Standard,South India,1760
SIH-01571,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Medium,30.9,1250,120,180,High,High,North India,9700
SIH-01572,Channapatna,Wood,Lac Turning,Small,3.7,150,20,25,Low,Moderate,South India,850
SIH-01573,Kondapalli Toys,Soft Wood,Hand Painting,Large,8.8,450,35,95,High,Light,South India,2360
SIH-01574,Terracotta,Clay,Hand Moulding,Large,7.0,320,35,65,Medium,Standard,East India,1380
SIH-01575,Channapatna,Wood,Lac Turning,Medium,2.6,250,20,25,Low,Standard,South India,840
SIH-01576,Pashmina,Pashmina Wool,Hand Embroidery,Standard,126.7,3360,410,440,Medium,Standard,North India,32880
SIH-01577,Madhubani,Paper,Hand Painting,Medium,35.0,300,70,125,Medium,Light,East India,8010
SIH-01578,Kondapalli Toys,Soft Wood,Hand Painting,Small,2.9,240,15,30,Low,Standard,South India,970
SIH-01579,Thanjavur Painting,Wood,Gold Leaf Work,Small,33.5,2900,295,575,Medium,Moderate,South India,16890
SIH-01580,Moradabad Metal Craft,Brass,Metal Engraving,Large,14.8,1720,125,160,High,Standard,North India,5790
SIH-01581,Banarasi,Silk,Handloom Weaving,Standard,88.8,5330,425,450,Medium,Standard,North India,32550
SIH-01582,Phulkari,Cotton,Hand Embroidery,Standard,24.4,420,60,65,High,Light,North India,4970
SIH-01583,Blue Pottery,Ceramic,Glazing,Small,2.3,130,15,20,Low,Moderate,West India,670
SIH-01584,Channapatna,Wood,Lac Turning,Small,3.8,120,25,45,Low,Light,South India,1080
SIH-01585,Channapatna,Wood,Lac Turning,Large,10.2,240,60,75,Medium,High,South India,2330
SIH-01586,Channapatna,Wood,Lac Turning,Large,7.2,200,30,70,Medium,Moderate,South India,1920
SIH-01587,Madhubani,Paper,Hand Painting,Medium,26.7,230,85,70,Low,Standard,East India,4520
SIH-01588,Kondapalli Toys,Soft Wood,Hand Painting,Small,2.4,240,20,20,Low,Standard,South India,840
SIH-01589,Moradabad Metal Craft,Brass,Metal Engraving,Small,9.2,1210,80,130,Low,Standard,North India,3980
SIH-01590,Madhubani,Paper,Hand Painting,Small,14.8,170,45,70,Low,Moderate,East India,3030
SIH-01591,Sandalwood Carving,Sandalwood,Wood Carving,Small,24.5,2870,275,285,Medium,High,South India,11570
SIH-01592,Terracotta,Clay,Hand Moulding,Medium,2.9,200,20,45,Low,Light,East India,850
SIH-01593,Pashmina,Pashmina Wool,Hand Embroidery,Standard,83.3,4830,495,585,Medium,Standard,North India,35700
SIH-01594,Sandalwood Carving,Sandalwood,Wood Carving,Medium,53.9,2680,320,260,High,Moderate,South India,18610
SIH-01595,Moradabad Metal Craft,Brass,Metal Engraving,Small,9.5,980,125,130,Low,Standard,North India,3760
SIH-01596,Blue Pottery,Ceramic,Glazing,Medium,3.7,260,40,50,Low,Standard,West India,1200
SIH-01597,Kalamkari,Cotton,Block Printing,Medium,7.5,290,25,35,Low,Standard,South India,2260
SIH-01598,Channapatna,Wood,Lac Turning,Medium,3.4,160,15,20,Low,Moderate,South India,690
SIH-01599,Kutch Embroidery,Cotton,Hand Embroidery,Small,7.7,270,35,45,Low,Standard,West India,1700
SIH-01600,Dhokra,Brass,Lost Wax Casting,Medium,16.9,1460,205,155,Medium,Light,Central India,7150
SIH-01601,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,7.5,870,65,95,Low,Light,North India,3110
SIH-01602,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,37.5,2720,200,380,High,Moderate,North India,12280
SIH-01603,Phulkari,Cotton,Hand Embroidery,Standard,40.2,340,140,290,High,Moderate,North India,10020
SIH-01604,Thanjavur Painting,Wood,Gold Leaf Work,Medium,76.9,1890,605,630,High,Moderate,South India,27060
SIH-01605,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,27.2,1360,205,150,Medium,Moderate,North India,8210
SIH-01606,Madhubani,Paper,Hand Painting,Large,49.4,330,220,335,High,Moderate,East India,13440
SIH-01607,Sikki Craft,Sikki Grass,Hand Weaving,Small,6.1,140,15,35,Low,Light,East India,980
SIH-01608,Phulkari,Cotton,Hand Embroidery,Standard,46.9,510,235,295,Medium,Moderate,North India,14290
SIH-01609,Sandalwood Carving,Sandalwood,Wood Carving,Small,33.2,2320,180,265,Medium,Light,South India,15120
SIH-01610,Dhokra,Brass,Lost Wax Casting,Small,6.2,940,90,115,Low,Standard,Central India,2700
SIH-01611,Sikki Craft,Sikki Grass,Hand Weaving,Small,3.3,80,20,20,Low,Light,East India,770
SIH-01612,Bastar Dhokra,Bell Metal,Lost Wax Casting,Small,10.6,1260,80,200,Low,Moderate,Central India,4470
SIH-01613,Bastar Dhokra,Bell Metal,Lost Wax Casting,Large,35.9,3580,405,340,High,Light,Central India,13490
SIH-01614,Dhokra,Brass,Lost Wax Casting,Large,20.4,2030,265,180,High,Light,Central India,7760
SIH-01615,Thanjavur Painting,Wood,Gold Leaf Work,Small,21.1,2300,185,355,Medium,Moderate,South India,12840
SIH-01616,Pipili Applique,Cotton,Applique,Small,8.6,180,30,25,Low,Light,East India,1570
SIH-01617,Moradabad Metal Craft,Brass,Metal Engraving,Large,7.0,1580,90,90,High,Standard,North India,4080
SIH-01618,Kutch Embroidery,Cotton,Hand Embroidery,Medium,8.4,580,60,80,Medium,Standard,West India,3080
SIH-01619,Banarasi,Silk,Handloom Weaving,Standard,128.6,4900,365,790,Medium,Standard,North India,34040
SIH-01620,Sikki Craft,Sikki Grass,Hand Weaving,Medium,6.7,200,35,30,Medium,Standard,East India,1570
SIH-01621,Kondapalli Toys,Soft Wood,Hand Painting,Small,4.4,200,25,25,Low,Standard,South India,1060
SIH-01622,Moradabad Metal Craft,Brass,Metal Engraving,Medium,10.5,1180,95,215,Medium,Light,North India,5100
SIH-01623,Sikki Craft,Sikki Grass,Hand Weaving,Medium,8.2,110,50,55,Medium,Standard,East India,1720
SIH-01624,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,59.3,1880,285,465,High,Moderate,North India,16410
SIH-01625,Sikki Craft,Sikki Grass,Hand Weaving,Small,3.1,120,20,20,Low,Moderate,East India,820
SIH-01626,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,41.0,1630,290,265,High,Standard,North India,13570
SIH-01627,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,45.0,3250,385,365,High,Standard,North India,14760
SIH-01628,Dhokra,Brass,Lost Wax Casting,Medium,23.4,1780,230,300,Medium,Moderate,Central India,8240
SIH-01629,Madhubani,Paper,Hand Painting,Medium,38.1,210,80,200,Medium,Moderate,East India,9060
SIH-01630,Dhokra,Brass,Lost Wax Casting,Medium,16.0,620,90,235,Medium,Standard,Central India,5310
SIH-01631,Phulkari,Cotton,Hand Embroidery,Standard,42.5,520,155,195,Medium,Light,North India,7950
SIH-01632,Pipili Applique,Cotton,Applique,Small,5.8,260,25,20,Low,Light,East India,1240
SIH-01633,Dhokra,Brass,Lost Wax Casting,Small,5.8,1430,70,85,Low,Light,Central India,3820
SIH-01634,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,15.5,470,125,140,Low,Standard,North India,5200
SIH-01635,Dhokra,Brass,Lost Wax Casting,Medium,18.5,1940,200,295,Medium,Light,Central India,7760
SIH-01636,Kutch Embroidery,Cotton,Hand Embroidery,Small,10.5,340,55,95,Low,Standard,West India,3590
SIH-01637,Thanjavur Painting,Wood,Gold Leaf Work,Small,53.6,1980,610,660,Medium,Standard,South India,22810
SIH-01638,Sandalwood Carving,Sandalwood,Wood Carving,Small,49.2,1270,365,595,Medium,Moderate,South India,20120
SIH-01639,Kutch Embroidery,Cotton,Hand Embroidery,Small,27.5,360,90,150,Medium,Light,West India,6620
SIH-01640,Kondapalli Toys,Soft Wood,Hand Painting,Small,3.2,260,15,20,Low,High,South India,980
SIH-01641,Blue Pottery,Ceramic,Glazing,Small,1.8,200,20,20,Low,Standard,West India,570
SIH-01642,Moradabad Metal Craft,Brass,Metal Engraving,Large,22.6,2050,170,195,High,Light,North India,9440
SIH-01643,Kutch Embroidery,Cotton,Hand Embroidery,Medium,14.1,530,45,85,Medium,Standard,West India,3070
SIH-01644,Sandalwood Carving,Sandalwood,Wood Carving,Large,97.8,3260,345,430,High,Standard,South India,29560
SIH-01645,Terracotta,Clay,Hand Moulding,Large,7.5,310,60,60,Medium,Standard,East India,1640
SIH-01646,Kondapalli Toys,Soft Wood,Hand Painting,Medium,7.7,130,55,50,Medium,Standard,South India,2070
SIH-01647,Sandalwood Carving,Sandalwood,Wood Carving,Small,30.1,2530,235,195,Medium,High,South India,11970
SIH-01648,Blue Pottery,Ceramic,Glazing,Large,7.8,490,90,90,High,High,West India,2710
SIH-01649,Channapatna,Wood,Lac Turning,Large,6.7,280,60,55,Medium,Standard,South India,1810
SIH-01650,Blue Pottery,Ceramic,Glazing,Medium,3.4,160,35,30,Low,Moderate,West India,1060
SIH-01651,Dhokra,Brass,Lost Wax Casting,Small,4.5,420,30,45,Low,Standard,Central India,1500
SIH-01652,Madhubani,Paper,Hand Painting,Medium,27.5,280,80,120,Medium,High,East India,5300
SIH-01653,Blue Pottery,Ceramic,Glazing,Large,2.6,360,45,35,Medium,High,West India,1040
SIH-01654,Bastar Dhokra,Bell Metal,Lost Wax Casting,Medium,26.0,1360,200,245,Medium,Standard,Central India,7590
SIH-01655,Blue Pottery,Ceramic,Glazing,Large,7.4,360,55,90,Medium,Standard,West India,2220
SIH-01656,Pashmina,Pashmina Wool,Hand Embroidery,Standard,93.8,5540,370,800,Medium,Standard,North India,39390
SIH-01657,Thanjavur Painting,Wood,Gold Leaf Work,Small,35.6,2180,415,725,Medium,Light,South India,19570
SIH-01658,Phulkari,Cotton,Hand Embroidery,Standard,33.9,410,90,110,Medium,Light,North India,6750
SIH-01659,Pashmina,Pashmina Wool,Hand Embroidery,Standard,55.1,4960,180,255,Medium,Standard,North India,20920
SIH-01660,Kondapalli Toys,Soft Wood,Hand Painting,Medium,4.6,180,25,40,Low,Standard,South India,1290
SIH-01661,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,23.5,1080,115,180,Medium,Moderate,North India,8710
SIH-01662,Kondapalli Toys,Soft Wood,Hand Painting,Large,3.5,420,35,50,High,Standard,South India,1400
SIH-01663,Terracotta,Clay,Hand Moulding,Large,8.7,330,70,65,Medium,Moderate,East India,1940
SIH-01664,Moradabad Metal Craft,Brass,Metal Engraving,Large,21.0,1660,235,200,High,Standard,North India,8130
SIH-01665,Sandalwood Carving,Sandalwood,Wood Carving,Medium,47.2,1580,405,345,High,Moderate,South India,17160
SIH-01666,Bastar Dhokra,Bell Metal,Lost Wax Casting,Large,42.7,2810,290,465,High,Moderate,Central India,12830
SIH-01667,Blue Pottery,Ceramic,Glazing,Large,6.9,620,75,105,High,High,West India,2460
SIH-01668,Dhokra,Brass,Lost Wax Casting,Small,18.2,950,235,225,Medium,High,Central India,7080
SIH-01669,Kalamkari,Cotton,Block Printing,Medium,13.4,460,50,50,Low,Light,South India,3350
SIH-01670,Moradabad Metal Craft,Brass,Metal Engraving,Large,17.6,1230,105,200,High,Light,North India,7210
SIH-01671,Kalamkari,Cotton,Block Printing,Large,13.5,720,70,50,Medium,Standard,South India,3520
SIH-01672,Terracotta,Clay,Hand Moulding,Medium,1.5,170,15,25,Low,Light,East India,460
SIH-01673,Sandalwood Carving,Sandalwood,Wood Carving,Large,71.9,5030,825,610,High,Standard,South India,29980
SIH-01674,Kutch Embroidery,Cotton,Hand Embroidery,Small,11.7,170,40,35,Low,Standard,West India,2280
SIH-01675,Phulkari,Cotton,Hand Embroidery,Standard,37.0,730,100,140,High,High,North India,9310
SIH-01676,Blue Pottery,Ceramic,Glazing,Small,2.0,160,15,40,Low,Standard,West India,640
SIH-01677,Madhubani,Paper,Hand Painting,Large,69.6,450,350,475,High,High,East India,19090
SIH-01678,Thanjavur Painting,Wood,Gold Leaf Work,Large,69.4,6070,730,715,High,Moderate,South India,29800
SIH-01679,Pipili Applique,Cotton,Applique,Small,9.0,270,35,25,Low,Standard,East India,1670
SIH-01680,Terracotta,Clay,Hand Moulding,Medium,5.8,210,25,35,Low,Moderate,East India,1230
SIH-01681,Sikki Craft,Sikki Grass,Hand Weaving,Medium,6.9,140,40,50,Low,Standard,East India,1690
SIH-01682,Kondapalli Toys,Soft Wood,Hand Painting,Large,4.9,480,25,55,Medium,Standard,South India,1640
SIH-01683,Sandalwood Carving,Sandalwood,Wood Carving,Large,59.4,4240,520,945,High,Standard,South India,28310
SIH-01684,Kondapalli Toys,Soft Wood,Hand Painting,Large,5.7,470,20,50,Medium,Standard,South India,1460
SIH-01685,Blue Pottery,Ceramic,Glazing,Large,5.9,330,65,90,Medium,Standard,West India,1860
SIH-01686,Pipili Applique,Cotton,Applique,Medium,14.5,350,60,60,Medium,Light,East India,3060
SIH-01687,Blue Pottery,Ceramic,Glazing,Large,5.3,350,25,45,Medium,Standard,West India,1230
SIH-01688,Dhokra,Brass,Lost Wax Casting,Medium,30.1,2400,240,265,High,Moderate,Central India,9730
SIH-01689,Phulkari,Cotton,Hand Embroidery,Standard,14.4,950,100,110,High,Moderate,North India,5250
SIH-01690,Kutch Embroidery,Cotton,Hand Embroidery,Large,24.8,840,75,160,High,Standard,West India,7090
SIH-01691,Pashmina,Pashmina Wool,Hand Embroidery,Standard,68.0,6210,375,590,Medium,Standard,North India,31690
SIH-01692,Sandalwood Carving,Sandalwood,Wood Carving,Large,50.5,2040,430,295,High,Standard,South India,17660
SIH-01693,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Medium,38.8,1690,245,410,High,Moderate,North India,12390
SIH-01694,Sikki Craft,Sikki Grass,Hand Weaving,Small,4.4,90,20,20,Low,Standard,East India,750
SIH-01695,Sandalwood Carving,Sandalwood,Wood Carving,Small,18.4,1910,115,190,Low,Moderate,South India,7750
SIH-01696,Blue Pottery,Ceramic,Glazing,Large,2.1,490,30,35,Medium,Standard,West India,1170
SIH-01697,Banarasi,Silk,Handloom Weaving,Standard,79.3,5180,315,635,High,Standard,North India,29240
SIH-01698,Pashmina,Pashmina Wool,Hand Embroidery,Standard,111.8,7960,490,700,Medium,Standard,North India,40860
SIH-01699,Kalamkari,Cotton,Block Printing,Medium,10.6,590,50,35,Medium,High,South India,2750
SIH-01700,Phulkari,Cotton,Hand Embroidery,Standard,31.9,650,120,135,Medium,Light,North India,8360
SIH-01701,Thanjavur Painting,Wood,Gold Leaf Work,Medium,57.6,3340,305,690,High,Standard,South India,26900
SIH-01702,Terracotta,Clay,Hand Moulding,Medium,3.7,150,20,50,Low,Standard,East India,960
SIH-01703,Dhokra,Brass,Lost Wax Casting,Small,7.2,960,75,120,Low,Standard,Central India,3590
SIH-01704,Banarasi,Silk,Handloom Weaving,Standard,50.8,6920,375,520,Medium,Standard,North India,23870
SIH-01705,Moradabad Metal Craft,Brass,Metal Engraving,Small,11.2,550,85,140,Low,Moderate,North India,4010
SIH-01706,Blue Pottery,Ceramic,Glazing,Medium,1.0,280,20,20,Low,Standard,West India,640
SIH-01707,Kalamkari,Cotton,Block Printing,Small,10.6,270,40,70,Low,Standard,South India,2800
SIH-01708,Blue Pottery,Ceramic,Glazing,Large,4.6,510,60,105,Medium,Standard,West India,1920
SIH-01709,Blue Pottery,Ceramic,Glazing,Small,2.2,190,25,35,Low,Standard,West India,590
SIH-01710,Thanjavur Painting,Wood,Gold Leaf Work,Medium,51.0,2780,390,480,High,Moderate,South India,24500
SIH-01711,Blue Pottery,Ceramic,Glazing,Small,2.8,250,30,35,Low,Standard,West India,940
SIH-01712,Kalamkari,Cotton,Block Printing,Small,4.7,270,15,25,Low,Light,South India,1320
SIH-01713,Sikki Craft,Sikki Grass,Hand Weaving,Small,7.3,100,20,30,Low,High,East India,1500
SIH-01714,Channapatna,Wood,Lac Turning,Medium,4.3,130,20,45,Low,Standard,South India,1090
SIH-01715,Sikki Craft,Sikki Grass,Hand Weaving,Medium,6.1,80,35,40,Low,Standard,East India,1330
SIH-01716,Sandalwood Carving,Sandalwood,Wood Carving,Small,5.9,1500,100,155,Low,Standard,South India,4860
SIH-01717,Channapatna,Wood,Lac Turning,Large,6.9,250,35,30,Medium,Light,South India,1420
SIH-01718,Dhokra,Brass,Lost Wax Casting,Medium,32.2,1010,250,295,High,Moderate,Central India,11050
SIH-01719,Moradabad Metal Craft,Brass,Metal Engraving,Small,16.4,880,130,190,Medium,Moderate,North India,6290
SIH-01720,Pipili Applique,Cotton,Applique,Medium,18.5,280,85,90,Medium,Light,East India,4280
SIH-01721,Blue Pottery,Ceramic,Glazing,Small,3.6,140,40,30,Low,Standard,West India,1010
SIH-01722,Thanjavur Painting,Wood,Gold Leaf Work,Small,30.2,2290,270,425,Medium,Standard,South India,14650
SIH-01723,Kutch Embroidery,Cotton,Hand Embroidery,Large,15.6,420,40,40,High,Standard,West India,3190
SIH-01724,Madhubani,Paper,Hand Painting,Medium,47.1,160,125,185,Medium,High,East India,11490
SIH-01725,Bastar Dhokra,Bell Metal,Lost Wax Casting,Medium,22.6,2130,240,300,Medium,Standard,Central India,8980
SIH-01726,Blue Pottery,Ceramic,Glazing,Medium,3.8,180,25,55,Low,Moderate,West India,1090
SIH-01727,Madhubani,Paper,Hand Painting,Small,17.5,180,45,95,Low,Light,East India,4390
SIH-01728,Blue Pottery,Ceramic,Glazing,Small,1.9,270,30,25,Low,Moderate,West India,860
SIH-01729,Blue Pottery,Ceramic,Glazing,Large,5.1,320,30,80,Medium,Standard,West India,1650
SIH-01730,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Medium,11.2,790,115,140,Medium,Light,North India,4320
SIH-01731,Kutch Embroidery,Cotton,Hand Embroidery,Small,8.6,310,35,60,Low,Standard,West India,2420
SIH-01732,Blue Pottery,Ceramic,Glazing,Large,9.3,380,65,95,Medium,Moderate,West India,2270
SIH-01733,Thanjavur Painting,Wood,Gold Leaf Work,Small,35.2,1340,330,240,Medium,Moderate,South India,16080
SIH-01734,Blue Pottery,Ceramic,Glazing,Small,2.6,180,20,20,Low,Standard,West India,680
SIH-01735,Pashmina,Pashmina Wool,Hand Embroidery,Standard,111.2,5690,305,835,Medium,Light,North India,39460
SIH-01736,Blue Pottery,Ceramic,Glazing,Large,5.3,390,30,65,Medium,Moderate,West India,1590
SIH-01737,Pashmina,Pashmina Wool,Hand Embroidery,Standard,79.1,7680,400,390,Medium,Standard,North India,31410
SIH-01738,Sikki Craft,Sikki Grass,Hand Weaving,Small,5.2,100,15,20,Low,Light,East India,1000
